age,gender,occupation,branch_code,current_balance,churn
13,Male,student,2444,6926.41,0
67,Male,self_employed,150,1578.21,0
76,Female,self_employed,47,1050.3,0
60,Male,self_employed,526,5065.29,0
79,Female,self_employed,442,15942.78,0
21,Male,student,1904,7151.46,0
57,Male,self_employed,619,27970.63,0
27,Male,self_employed,194,431.67,1
71,Male,retired,3243,4330.29,0
47,Male,self_employed,67,11902.1,0
61,Male,salaried,2760,2662.21,0
70,Male,salaried,1,54686.7,0
26,Female,self_employed,231,2585.29,0
41,Male,self_employed,921,6209.34,0
32,Male,salaried,3648,39462.27,0
55,Male,salaried,1516,4587.28,0
58,Male,salaried,1783,2335.05,0
40,Female,self_employed,2042,9931.34,0
65,Male,,1761,3379.75,0
63,Female,self_employed,1771,11636.85,0
26,Male,self_employed,1730,483.52,1
58,Male,self_employed,27,10088.96,0
33,Male,self_employed,2539,3537.16,0
53,Male,salaried,2126,12913.08,0
19,Female,self_employed,11,3144.56,0
35,Male,salaried,1002,2870.63,0
41,Male,self_employed,5,3185.72,0
36,Male,self_employed,240,6785.6,0
30,Male,salaried,803,3122.27,0
29,Female,salaried,26,9013.52,0
74,Male,retired,286,2227.37,0
67,Female,salaried,1572,20741.22,0
26,Male,self_employed,35,1454.24,1
32,Female,self_employed,2903,2429.18,1
71,Male,retired,112,2460.94,0
56,Female,self_employed,63,22437.57,0
43,Male,self_employed,1355,10152.97,0
90,Female,self_employed,1253,8215.16,0
48,Male,self_employed,146,2617.87,0
72,Female,self_employed,438,503.68,1
75,Male,self_employed,116,1555.37,1
70,Male,self_employed,15,8191.35,0
43,Male,self_employed,797,2859.86,0
39,Female,self_employed,2468,8125.81,0
34,Male,self_employed,252,2597.77,0
49,Female,self_employed,108,1694.84,1
38,Male,self_employed,2464,1792.97,1
43,Female,salaried,115,2488.77,0
36,Male,self_employed,544,9572.43,0
62,Female,self_employed,46,16969.05,0
54,Male,salaried,149,909.84,0
39,Male,self_employed,1861,10864.4,0
10,Female,student,2196,107.99,1
67,Male,self_employed,1806,1515.7,0
48,Male,salaried,239,1905.79,0
56,Male,self_employed,3136,70.97,1
65,Male,retired,4672,5945.69,0
40,Male,student,183,1100.97,1
66,Male,retired,16,20452.17,1
37,Female,self_employed,2755,3097.47,1
58,Female,self_employed,666,2123.8,0
68,Male,retired,1583,2101.47,0
34,Female,self_employed,1375,5899.01,0
71,Male,retired,2082,844.46,1
46,Male,salaried,2907,2409.49,0
43,Male,self_employed,1087,5182.72,0
66,Male,self_employed,159,6685.16,0
52,Male,self_employed,2192,9474.09,0
43,Male,salaried,2245,1460.15,0
31,Female,self_employed,1656,7020.3,0
3,Female,student,2202,1863.74,0
45,Male,self_employed,36,2189.03,0
41,Female,self_employed,3189,6212.04,0
35,Female,self_employed,2397,1072.56,0
41,Male,self_employed,86,5026.63,0
39,Male,self_employed,62,1570.66,0
49,Female,self_employed,503,5796.61,0
30,Male,self_employed,1950,1642.73,0
30,Female,self_employed,679,2348.97,0
25,Male,self_employed,1730,314.23,1
42,Female,self_employed,234,279.79,1
45,Male,self_employed,2008,2357.64,0
74,Male,retired,381,16917.74,0
28,Male,self_employed,820,4689.26,0
28,Male,self_employed,1759,3725.73,0
34,Male,self_employed,524,7634.87,0
49,Female,self_employed,935,3158.08,1
40,Female,salaried,2396,2404.56,0
32,Male,salaried,1514,2059.04,0
39,Male,salaried,724,5718.2,0
44,Male,self_employed,1248,6888.19,0
52,Female,salaried,86,8836.28,0
36,Female,self_employed,665,1471.2,0
51,Female,salaried,138,3712.09,0
83,Female,retired,668,0.51,1
23,Female,student,363,10657.76,0
52,Male,salaried,102,3278.11,0
49,Female,self_employed,2037,4003.75,0
29,Female,self_employed,2870,23847.85,0
46,Male,self_employed,1672,1633.2,0
31,Female,self_employed,1703,11651.82,1
63,Male,self_employed,143,14901.34,0
26,Male,salaried,76,2354.29,0
43,Male,self_employed,1345,29599.74,0
35,Male,salaried,5,1799.94,0
75,Male,retired,861,10309.02,0
39,Female,salaried,2027,4970.13,0
31,Male,salaried,2024,5654.08,0
64,Female,self_employed,186,7154.35,0
29,Female,self_employed,638,2842.3,1
48,Female,self_employed,616,1404,0
49,Male,self_employed,304,1898.54,0
55,Female,self_employed,3526,43211.61,0
37,Male,self_employed,187,1739.81,0
44,Female,self_employed,370,2462.65,0
36,Female,self_employed,582,2630.36,0
28,Female,self_employed,1379,10725.2,0
49,Female,salaried,1378,665.33,0
45,Male,self_employed,75,4617.63,0
43,Female,self_employed,396,4481.2,0
30,Female,self_employed,1698,2683,0
90,Male,self_employed,34,1841.96,0
36,Female,self_employed,1465,2947.01,0
67,Male,self_employed,40,1433.48,1
65,Male,self_employed,170,5823.36,0
90,,self_employed,622,4178.06,0
90,Male,self_employed,6,138.71,1
42,Male,salaried,1721,2191.51,0
38,Female,self_employed,149,1756.94,0
75,Female,self_employed,18,1433.21,1
32,Male,salaried,830,2076.81,0
61,Male,self_employed,759,3731.2,0
55,Male,salaried,1638,7110.16,0
64,Male,retired,33,2479.97,1
52,Female,self_employed,2533,1464.17,0
41,Male,self_employed,2179,3975.23,0
28,Female,salaried,2824,278.57,1
3,Female,student,622,4163.26,0
69,Female,self_employed,16,13701.91,0
35,Female,self_employed,159,1983.16,0
49,Female,self_employed,117,16120.07,0
28,Male,salaried,483,5243.46,1
55,Female,salaried,309,1738.95,0
42,Female,self_employed,880,6689.29,0
45,Male,self_employed,187,5315.57,0
45,Male,salaried,1045,2764.84,0
39,Male,self_employed,619,2205.39,0
38,Female,self_employed,610,1595.33,0
69,Female,self_employed,1274,7579.44,0
30,Female,self_employed,476,3843.06,1
59,Male,salaried,296,5532.14,0
21,Female,student,33,2818.51,0
28,Male,student,1716,900.93,1
60,Female,salaried,1231,3486.24,0
43,Male,salaried,396,1053.65,1
42,Male,salaried,1958,2399.45,0
31,Female,student,272,6251.19,0
56,Male,self_employed,51,4142.83,0
33,Female,self_employed,64,1700.94,0
66,Female,self_employed,293,3102.16,0
70,Male,retired,1863,18187.37,0
44,Male,salaried,1789,2163.68,1
42,Male,self_employed,2409,390.24,1
23,Male,student,1795,6011.64,0
45,Male,salaried,158,2471.72,0
70,Male,retired,2644,9056.51,0
67,Male,retired,759,3896.99,0
33,Female,self_employed,1392,3221.37,0
40,Male,self_employed,410,261.77,1
36,Male,self_employed,2408,10404.34,0
58,Female,self_employed,1209,2288.18,0
90,Male,self_employed,2375,12827.71,0
77,Male,retired,2,8263.48,0
42,Male,self_employed,213,2695.29,1
59,Male,salaried,707,563.65,0
37,Male,salaried,473,3182.99,0
29,Male,self_employed,3436,1773.22,0
49,Male,self_employed,77,5873.4,0
45,Female,self_employed,354,2766.59,0
64,Male,retired,674,5003.27,0
49,Male,salaried,59,18610.35,0
47,Male,self_employed,2474,5382.59,0
81,Male,retired,16,244686.74,0
18,Female,student,523,5954.78,0
60,Female,retired,1695,3840.8,0
39,Male,self_employed,47,1933.12,1
52,Female,salaried,248,3335.44,1
64,Female,self_employed,14,27118.65,0
41,Female,self_employed,320,1691.27,0
50,Male,self_employed,212,1503.34,0
38,Male,self_employed,16,1689.22,0
53,Female,self_employed,932,7811.02,1
54,Female,self_employed,676,5664.38,1
77,Female,self_employed,5,1828.39,0
63,Male,self_employed,1420,2684.38,0
63,Male,retired,501,1964.42,1
15,Male,student,235,3313.3,0
28,Female,self_employed,378,430.31,1
60,Male,salaried,2845,2085.46,0
39,Female,self_employed,77,4093.32,1
61,Male,salaried,1347,7506.81,0
90,Male,retired,250,21608.91,0
53,Male,self_employed,526,2918.97,0
31,Male,self_employed,2581,1031.8,0
32,Male,salaried,227,1069.08,1
24,Male,self_employed,1983,144.75,1
23,Male,salaried,219,4287.7,0
32,Male,salaried,81,10678.88,0
55,Male,self_employed,643,1565.69,0
60,Male,salaried,52,9178.6,0
49,Male,salaried,39,1216.68,1
37,Female,self_employed,485,3431.4,0
44,Male,self_employed,1298,3649.25,0
69,Female,self_employed,289,1361.62,0
33,Female,self_employed,550,31851.55,0
36,Male,salaried,554,12600.99,0
29,Male,student,509,6504.13,0
44,Male,self_employed,413,5342.3,0
54,Female,self_employed,1272,1490.51,0
33,Female,salaried,1408,49.98,0
62,Male,self_employed,358,10530.02,1
47,Male,self_employed,1223,20638.15,0
60,Male,self_employed,372,2393.6,0
42,Female,self_employed,612,1445.26,0
53,Female,self_employed,1027,2047.77,1
46,Female,salaried,114,821.18,0
31,Male,self_employed,1268,935.82,1
75,Male,retired,106,4151.56,0
56,Male,self_employed,1480,2653.58,1
6,Female,student,32,3127.64,1
24,Male,salaried,3,5834.67,0
66,Male,self_employed,946,17736.13,0
70,Male,self_employed,14,3075.61,0
52,Male,salaried,68,2653.6,0
40,Female,self_employed,2901,5860.13,0
34,Male,salaried,826,6138.46,0
35,Female,salaried,12,233.48,0
60,Male,self_employed,2844,11053.83,1
61,Female,self_employed,519,588.02,1
48,Female,self_employed,672,6885.54,0
55,Male,salaried,19,4265.8,0
73,Male,retired,578,10359.91,0
61,Female,self_employed,298,1536.82,1
29,Male,self_employed,37,4634.83,0
38,Female,salaried,2053,15426.05,0
42,Male,self_employed,445,12494.86,0
52,Female,self_employed,249,3821.35,0
30,Male,self_employed,829,3779.86,0
36,Female,self_employed,1335,4135.04,0
60,Male,salaried,5,1642.26,0
70,Male,self_employed,166,17795.8,0
47,Male,salaried,86,8382.26,0
28,Male,self_employed,1363,4746.17,0
50,Female,salaried,2644,4390.99,0
65,Female,self_employed,119,1784.91,1
29,Male,self_employed,675,411.42,1
61,Female,self_employed,1394,1226.72,1
53,Female,self_employed,530,1681.07,0
33,Male,self_employed,2134,3124.75,0
70,Male,retired,88,4926.41,0
54,Male,self_employed,432,23290.3,0
21,Male,student,135,689.86,0
48,Male,self_employed,367,19583.65,0
39,Male,salaried,2527,1741.68,0
67,Female,retired,157,10716.44,0
47,Female,self_employed,837,6299.99,0
71,Male,self_employed,80,95267.56,0
52,Male,self_employed,565,14939.89,1
60,Female,,2158,1257.16,1
26,Male,self_employed,2644,2360.45,0
39,Female,self_employed,1306,3780.22,0
57,Male,self_employed,2204,11624.4,0
37,Male,self_employed,780,5968.77,1
51,Male,self_employed,918,380.81,0
44,Male,self_employed,468,1366.21,0
67,Male,retired,8,7834.62,0
41,Male,salaried,2243,1646.63,0
40,Female,self_employed,1875,1886.36,1
39,Female,self_employed,812,4349.95,0
33,Male,salaried,163,3317.67,0
22,Female,student,1431,3576.66,0
41,Male,self_employed,1987,1338.22,0
65,Female,self_employed,206,1369.66,0
47,Female,self_employed,1927,4839.68,0
80,Female,self_employed,1427,2980.05,0
62,Male,self_employed,500,6191.44,1
63,Female,self_employed,1355,6028.34,0
32,Female,self_employed,1643,289.21,1
26,Male,student,1070,5427.68,0
30,Female,self_employed,4153,22776.74,0
65,Female,self_employed,1357,4250.35,0
35,Female,self_employed,7,10931,1
52,Male,self_employed,1111,7491.74,0
47,Female,self_employed,2953,2415.04,0
34,Male,self_employed,1448,1466.71,0
64,Male,retired,1895,12140.41,0
53,Female,self_employed,1224,2638.96,0
51,Female,self_employed,1259,676.16,1
54,Female,self_employed,319,1917.69,0
24,Male,self_employed,760,2926.73,0
24,Male,self_employed,2327,1476.47,0
25,Male,student,3964,9027.5,0
22,Female,student,1364,2175.61,0
32,Male,self_employed,1076,3970.64,0
59,Male,salaried,47,11397.37,0
84,Female,self_employed,8,68219.95,0
20,Male,student,1364,1491.57,0
70,Female,self_employed,3192,1660.27,0
46,Female,self_employed,1375,9816.06,0
61,Female,self_employed,1821,1710.67,0
50,Male,self_employed,2205,1324.67,0
39,Male,salaried,706,2091.15,0
44,Female,self_employed,382,1927.44,0
90,,self_employed,1719,12122.37,0
46,Female,self_employed,3789,190.9,1
23,Female,student,438,2440.37,0
42,Male,salaried,86,13499.17,0
43,Male,self_employed,118,26291.66,1
27,Female,self_employed,835,1642.87,0
30,Male,self_employed,47,37032.89,0
39,Male,salaried,2587,7225.35,0
54,Female,self_employed,377,253.98,0
49,Male,self_employed,516,2788.05,0
22,Male,salaried,1844,3674.8,0
47,Male,self_employed,31,1744.56,0
90,,self_employed,2037,2632.73,0
61,Female,salaried,234,2159.16,0
71,Female,self_employed,452,82.99,1
71,Female,self_employed,408,4025.3,0
35,Male,self_employed,48,2111.72,0
35,Female,self_employed,358,1434.09,0
60,Female,self_employed,363,977.78,0
48,Male,salaried,2320,8044.33,0
42,Male,self_employed,118,1654.48,0
43,Male,salaried,343,4005.96,0
35,Male,salaried,211,4482.78,0
31,Male,self_employed,1302,11152.16,0
36,Male,self_employed,433,3297.9,0
48,Male,salaried,29,6695.64,0
46,Male,salaried,885,15897.82,0
73,Male,salaried,356,4749.95,0
29,Male,self_employed,2778,1802.77,0
71,Male,retired,273,5471.59,0
38,Male,salaried,421,5087.55,0
53,Male,self_employed,2458,8662.45,0
69,Female,self_employed,376,33710.69,0
57,Female,self_employed,2719,15497.07,0
53,Male,salaried,415,2678.91,0
14,Male,student,386,2676.85,0
55,Female,self_employed,52,3614.8,0
77,Female,self_employed,27,7337.71,0
40,Male,self_employed,16,8459.52,0
51,Male,self_employed,1087,2140.74,0
24,Female,student,1402,3460.39,0
64,Female,self_employed,501,2084.21,0
28,Male,salaried,2675,2750.7,0
86,Male,retired,114,6789.15,0
36,Female,self_employed,113,8401.85,0
27,Female,self_employed,1008,3565.7,0
39,Male,self_employed,790,7668.45,0
27,Female,self_employed,1379,2630.16,0
40,Female,self_employed,2535,6224.13,0
56,Female,self_employed,44,1405.32,0
75,Male,self_employed,1400,15723.03,0
44,Male,self_employed,996,19778.1,0
63,Male,self_employed,819,2093.2,0
33,Male,self_employed,292,1869.58,0
44,Male,self_employed,195,1843.14,0
51,Female,self_employed,1746,1475.26,0
76,Male,self_employed,60,1463.67,0
64,Male,self_employed,269,503.56,1
78,Male,self_employed,101,5160.25,0
34,Male,self_employed,153,695.23,0
65,Female,self_employed,235,14943.26,0
58,Male,salaried,2103,4330.44,0
52,Female,self_employed,389,4491.79,1
40,Male,self_employed,761,5092.49,0
42,Female,self_employed,490,4746.58,0
20,Male,student,668,1775.47,0
50,Female,salaried,218,17946.86,0
53,Female,self_employed,8,11252.14,0
47,Female,self_employed,263,4928.89,1
47,Female,self_employed,195,5163.22,0
35,Female,self_employed,54,3267.88,0
26,Female,student,2793,29.59,1
43,Female,self_employed,2410,475.54,0
36,Female,self_employed,2643,6128.43,0
34,Male,self_employed,1802,3050.77,0
32,Male,self_employed,296,2449.78,1
46,Female,self_employed,317,5333.27,0
34,Male,self_employed,29,2930.15,0
72,Male,salaried,284,6628.76,0
69,Male,retired,260,619.54,1
50,Male,salaried,1985,3085.89,0
55,Male,self_employed,18,1599.01,0
35,Male,salaried,328,9585.21,0
74,Female,self_employed,8,2063.38,0
61,Male,self_employed,164,11945.51,0
34,Female,self_employed,256,3455.52,0
39,Female,self_employed,42,7640.48,0
38,Male,self_employed,1801,18573.1,0
40,Male,salaried,974,6885.32,0
81,Female,self_employed,1092,2544.52,0
38,Male,self_employed,758,6044.34,1
37,Female,self_employed,1581,4373.34,0
34,Male,self_employed,2525,23925.5,0
67,Male,salaried,1136,342.92,1
67,Female,salaried,396,8056.14,0
44,Male,salaried,276,161303.46,0
26,Male,salaried,89,2200.65,0
90,Female,self_employed,1351,1534,0
64,Female,self_employed,5,5597.74,0
90,Male,self_employed,1223,6164.76,0
30,Male,salaried,244,1651.35,0
35,Male,salaried,134,2078.33,0
27,Male,salaried,1509,9003.08,0
46,Male,salaried,2264,2116.31,0
46,Male,self_employed,1528,25236.5,0
34,Male,self_employed,1483,1986.9,1
48,Male,self_employed,1578,2578.21,0
52,Male,self_employed,1909,2616.43,0
38,Female,salaried,458,1426.08,0
37,Male,salaried,1027,21349.95,0
80,Male,retired,174,87.48,1
50,Female,salaried,158,28331.86,1
52,Male,self_employed,1789,1505.17,0
34,Male,self_employed,472,2904.66,0
59,Male,self_employed,1541,5769.46,0
35,Male,salaried,388,1649.67,0
71,Female,self_employed,194,4887.92,0
90,Female,self_employed,44,32754.47,0
50,Male,self_employed,108,4987.93,0
46,Female,salaried,13,5545.23,0
90,Male,self_employed,287,1419.36,0
66,Female,self_employed,789,5166.3,0
50,Male,salaried,41,1762.34,0
39,Female,salaried,41,3769.33,0
45,Female,self_employed,251,2133.95,0
80,Male,retired,3636,6999.71,0
45,Male,self_employed,137,2592.6,0
76,Male,retired,202,2263.53,0
64,Male,retired,998,1861.88,1
57,Male,salaried,2863,6481.67,0
38,Female,self_employed,104,1829.8,0
27,Male,student,480,20105.32,0
13,Female,student,312,4672.45,0
43,Female,self_employed,1007,916.41,0
31,Male,self_employed,177,1795.75,0
22,Female,student,365,6405.24,0
37,Male,salaried,163,6950.44,1
36,Male,self_employed,2140,2410.74,0
45,Female,self_employed,2673,3993.61,0
29,Male,self_employed,2130,3571.67,1
55,Male,self_employed,203,1421.82,0
73,Female,retired,1114,3000.63,0
40,Male,self_employed,215,4430.07,0
49,Male,self_employed,217,6535.77,0
69,Male,self_employed,733,7405.53,0
51,Female,self_employed,279,7911.21,1
54,Female,self_employed,3019,1714.66,0
61,Male,self_employed,815,4307.37,0
27,Male,salaried,1631,8853.68,0
90,Male,self_employed,11,1842.23,0
7,Male,student,628,5238.52,1
31,Male,self_employed,1601,261.28,1
49,Male,salaried,1555,0.83,1
79,Female,retired,1446,1382.08,0
67,Female,self_employed,26,2092.82,0
37,Female,salaried,36,1761.53,0
33,Female,self_employed,1405,2350.16,0
28,Female,self_employed,1585,1465.55,1
77,Female,self_employed,1902,31968.23,0
45,Male,salaried,1375,8927.92,0
42,Male,self_employed,2402,1253.41,0
47,Female,self_employed,1454,1671.69,0
76,Male,retired,2615,3368.08,0
17,Female,student,1220,2914.67,0
50,Female,self_employed,89,4200.87,0
44,Male,salaried,2807,1795.59,1
9,Female,student,2729,3414.7,0
49,Male,self_employed,550,7504.64,0
75,Female,retired,101,5768.51,0
62,Male,salaried,218,10705.61,0
75,Male,retired,2534,955.95,0
47,Female,salaried,1562,2072.79,0
67,Male,self_employed,127,8148.84,1
28,Female,self_employed,1438,1433.7,0
25,Female,self_employed,231,23.56,0
48,Male,salaried,140,1945.45,0
50,Male,salaried,75,60.07,0
62,Male,retired,272,2423.63,0
62,Male,self_employed,1860,6039.36,0
70,Male,salaried,93,1991.37,0
43,Female,self_employed,279,4430.16,0
31,Male,self_employed,379,1447.87,0
14,Female,student,75,1664.53,0
36,Female,self_employed,676,1428.61,0
52,Female,self_employed,193,3767.07,0
34,Male,salaried,2628,3064.37,0
60,Female,self_employed,238,2694.71,0
29,Male,salaried,985,706.56,1
61,Male,self_employed,617,1987.03,1
48,Male,self_employed,1307,9735.4,0
46,Male,salaried,129,21923.3,0
59,Female,salaried,1866,3795.15,1
90,Female,self_employed,1313,50138.75,0
90,,self_employed,60,3247.69,0
26,Female,self_employed,331,420.03,1
26,Male,student,2806,10872.19,0
31,Female,self_employed,837,8709.01,1
81,Male,retired,1349,1665.81,0
72,Female,self_employed,90,4632.32,0
49,Female,self_employed,149,2896.12,0
42,Male,self_employed,1093,24.99,1
40,Female,self_employed,124,277.07,1
35,Female,self_employed,1718,13394.46,0
28,Female,salaried,580,4661.95,0
3,Male,student,873,2950.81,0
42,Male,salaried,2569,6366.1,0
28,Male,self_employed,894,2695.34,0
68,Female,self_employed,2774,5280.4,0
46,Male,salaried,33,26728.32,0
54,Female,self_employed,40,1165.69,1
51,Female,salaried,88,2726.83,0
65,Female,self_employed,167,5452.14,1
25,Male,student,53,12760.51,0
44,Male,self_employed,566,2629.43,0
28,Male,salaried,22,3187.61,0
11,Female,student,557,861.45,1
32,Female,self_employed,314,1471.62,0
45,Female,self_employed,654,1140.93,0
34,Male,salaried,236,1506.87,0
33,Female,salaried,235,2589.18,0
61,Female,self_employed,1330,1101.19,1
43,Male,self_employed,2806,5806.19,0
90,,self_employed,143,2574.81,0
41,Female,self_employed,1108,11734.76,0
38,Male,self_employed,1780,9.53,1
30,Female,self_employed,641,462.3,1
78,Female,retired,736,2690.5,0
59,Male,self_employed,2476,1634.74,0
56,Male,self_employed,289,1800.56,0
22,Male,self_employed,2475,4501.84,0
52,Female,salaried,3818,14493.43,1
32,Female,self_employed,1350,26216.37,0
46,Male,self_employed,541,3198.95,0
40,Male,salaried,75,17357.11,0
31,Male,salaried,179,1683.96,0
70,Female,self_employed,1302,2972.05,0
31,Female,self_employed,574,4355.97,0
53,Male,salaried,1216,976.25,1
59,Male,salaried,2835,9841.52,0
35,Female,self_employed,2095,3151.8,1
71,Male,self_employed,680,1465.72,0
51,Female,self_employed,830,2825.44,1
32,Male,salaried,500,7565.7,0
57,Female,self_employed,415,1776.44,0
72,Male,retired,1275,2287.07,0
24,Male,student,1840,1788.86,0
71,Male,retired,2721,1987.97,0
39,Male,salaried,3,2142.75,0
60,Female,self_employed,1580,9408.72,0
45,Male,self_employed,88,11336.36,0
90,,self_employed,314,3402.63,0
43,Male,self_employed,542,8962.41,0
79,Female,self_employed,41,5922.21,0
34,Male,self_employed,176,21901.49,0
48,Male,self_employed,585,2079.86,0
54,Male,self_employed,726,3943.58,0
25,Male,student,1,7035.57,0
64,Male,self_employed,753,1500.32,0
67,Male,self_employed,639,7828.22,0
50,Female,self_employed,69,6663.16,0
61,Male,salaried,827,247.52,1
30,Female,self_employed,54,8033.87,0
21,Male,student,26,9117.09,0
46,Female,self_employed,420,2420.85,0
30,Female,salaried,10,678.52,1
27,Male,self_employed,1651,1395.54,0
61,Male,salaried,1085,1967.06,0
50,Male,salaried,63,6059.27,0
49,Female,self_employed,958,2739.31,0
44,Male,self_employed,3439,1974.69,0
62,Male,self_employed,319,18923.32,0
50,Female,self_employed,33,1976.27,0
51,Female,self_employed,577,1582.04,0
47,Female,self_employed,164,2284.41,0
72,Female,self_employed,6,7743.86,0
59,Male,self_employed,1663,3332.09,0
69,Male,retired,330,2002.19,0
41,Female,self_employed,1853,913.71,1
49,Male,self_employed,801,2707.74,0
57,Female,self_employed,752,4839.8,1
50,Male,salaried,1555,17477.81,0
68,Female,self_employed,1666,1498.12,0
35,Male,salaried,623,2742.4,0
32,Female,self_employed,621,139454.42,0
53,Female,salaried,421,1590.44,0
27,Female,student,88,2809.42,0
36,Female,self_employed,54,1965.39,0
79,Male,self_employed,351,2236.88,0
69,Male,retired,82,44965.49,1
52,Female,self_employed,1995,3032.96,1
35,Male,self_employed,2289,2870.65,0
71,Female,retired,19,3164.86,0
51,Male,salaried,548,91748.31,0
42,Male,self_employed,377,88.05,1
49,Male,self_employed,3391,1296.78,1
75,Female,self_employed,1471,2010.69,0
63,Female,self_employed,1676,1607.77,0
33,Male,self_employed,76,781.59,1
44,Female,self_employed,581,2404.46,0
60,Male,self_employed,1530,2644.78,1
51,Male,self_employed,294,1667.63,0
22,Male,student,149,1885.06,0
63,Male,self_employed,1235,3778.47,0
44,Male,self_employed,331,1450.82,0
10,Female,student,2441,1522.29,0
50,Male,salaried,2994,4244.83,0
70,Male,salaried,456,1478.85,0
19,Male,student,313,7684.54,0
55,Male,salaried,277,2644.01,0
60,Male,salaried,21,45353.33,0
22,Male,self_employed,989,526.22,1
40,Male,self_employed,1242,7566.05,0
49,Male,self_employed,1697,1450.83,0
47,Male,salaried,1759,4609.8,0
25,Female,student,75,3545.28,0
62,Male,self_employed,1414,10076.1,0
26,Male,salaried,1264,2196.49,1
90,,self_employed,557,190.75,0
73,Female,self_employed,1130,7243.24,0
71,Female,retired,169,2165.68,0
59,Female,self_employed,109,8599.87,0
55,Female,self_employed,2251,1418.81,0
39,Male,self_employed,266,14983.38,0
6,Female,student,19,2800.13,0
42,Male,salaried,33,16704.74,0
90,Male,self_employed,2255,307672.7,0
74,Male,self_employed,19,1572.99,1
35,Male,self_employed,516,57070.36,0
40,Male,salaried,1759,8693.5,0
37,Male,self_employed,711,4955.14,0
38,Male,salaried,962,6379.4,0
59,Male,salaried,131,4181.16,0
47,Male,salaried,235,1591.99,0
27,Male,salaried,889,4069.6,0
65,Female,self_employed,581,11308.99,0
8,Male,student,541,4362.14,0
59,Female,self_employed,1204,604.02,0
59,Female,self_employed,1387,1943.14,0
47,Male,salaried,1227,9503.92,0
42,Male,self_employed,1251,831.89,0
59,Female,self_employed,2335,1497.74,0
48,Male,self_employed,1708,11385.56,0
44,Male,self_employed,1824,804.83,0
90,,self_employed,1228,2859.73,1
39,Male,salaried,667,5937.98,0
44,Male,salaried,1410,198.89,1
32,Female,salaried,227,2526.25,0
59,Male,self_employed,606,4595.57,0
62,Male,,1812,1767.37,0
72,Male,retired,1736,1027.17,0
59,Female,self_employed,331,2725.74,0
34,Female,salaried,402,52.46,0
90,Female,retired,85,5710.6,0
27,Female,self_employed,1781,4408.63,0
65,Male,salaried,157,3746.34,1
49,Female,self_employed,119,6410.28,0
67,Female,self_employed,353,4311.91,0
55,Female,self_employed,837,3344.74,0
75,Female,self_employed,2046,5435.79,1
31,Male,salaried,2156,4053.28,0
81,Male,retired,932,1980.08,0
39,Male,salaried,1050,1257.63,0
70,Male,retired,313,15544.61,0
41,Male,self_employed,3225,3288.61,0
82,Female,retired,240,8682.42,0
30,Male,self_employed,300,1769.97,0
31,Male,salaried,2549,3450,0
33,Male,salaried,94,5688.22,0
28,Female,self_employed,210,2568.79,0
68,Male,retired,998,2351.23,0
37,Male,salaried,1918,2835.91,0
40,Female,self_employed,1043,164.56,1
37,Female,self_employed,1725,3114.11,0
